"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment"
"Hyena","MM","Medium","beast","unaligned","11","5 (1d8 + 1)","50 ft.","11","13","12","2","12","5","","Perception +3","","","","","passive Perception 13","—","0 (0 or 10 XP)"," Pack Tactics. The hyena has advantage on an attack roll against a creature if at least one of the hyena's allies is within 5 feet of the creature and the ally isn't incapacitated."," Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) piercing damage.","","","","","","","Desert, Forest, Grassland, Hill"
"Hypnos Magen","IDRotF","Medium","construct","unaligned","12","34 (4d8 + 16)","30 ft.","10","14","18","14","10","7","","","","","poison","charmed, exhaustion, frightened, paralyzed, poisoned","passive Perception 10","understands the languages of its creator but can't speak, telepathy 30 ft.","1 (200 XP)"," Fiery End. If the magen dies, its body disintegrates in a harmless burst of fire and smoke, leaving behind anything it was wearing or carrying. Magic Resistance. The magen has advantage on saving throws against spells and other magical effects. Unusual Nature. The magen doesn't require air, food, drink, or sleep."," Psychic Lash. The magen's eyes glow silver as it targets one creature that it can see within 60 feet of it. The target must succeed on a DC 12 Wisdom saving throw or take 11 (2d10) psychic damage. Suggestion. The magen casts the suggestion spell (save DC 12), requiring no material components. The target must be a creature that the magen can communicate with telepathically. If it succeeds on its saving throw, the target is immune to this magen's suggestion spell for the next 24 hours. The magen's spellcasting ability is Intelligence.","","","","","","",""
"Hythonia","MOT","Large","monstrosity","lawful evil","17 (natural armor)","199 (21d10 + 84)","40 ft., climb 40 ft., swim 40 ft.","21","17","19","14","16","18","Str +11, Con +10, Cha +10","Deception +10, Insight +9, Perception +9, Stealth +9","","","poison","charmed, frightened, poisoned","darkvision 120 ft., passive Perception 19","Common","17 (18,000 XP, or 36,000 XP as a mythic encounter)"," Innate Spellcasting. Hythonia's spellcasting ability is Charisma (spell save DC 18). She can innately cast animate objects once per day requiring no material components.1/day: animate objects Legendary Resistance (3/Day). If Hythonia fails a saving throw, she can choose to succeed instead. Petrifying Gaze. When a creature that can see Hythonia's eyes starts its turn within 30 feet of her, Hythonia can force it to make a DC 18 Constitution saving throw if she isn't incapacitated and can see the creature. If the saving throw fails by 5 or more, the creature is instantly petrified. Otherwise, on a failed save the creature begins to turn to stone and is restrained. The restrained creature must repeat the saving throw at the end of its next turn, becoming petrified on a failure or ending the effect on a success. The petrification lasts until the creature is freed by the greater restoration spell or other magic. Unless surprised, a creature can avert its eyes to avoid the saving throw at the start of its turn. If the creature does so, it can't see Hythonia until the start of its next turn, when it can avert its eyes again. If the creature looks at Hythonia in the meantime, it must immediately make the save. If Hythonia sees herself reflected on a polished surface within 30 feet of her and in an area of bright light, she is affected by her own gaze. Shed Skin (Mythic Trait; Recharges after a Short or Long Rest). If Hythonia is reduced to 0 hit points, she doesn't die or fall unconscious. Instead, she sheds her skin, regains 199 hit points, and moves up to her speed without provoking opportunity attacks."," Multiattack. Hythonia makes three attacks: one with her claws, one to constrict, and one with her snaky hair. Claws. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) slashing damage plus 4 (1d8) poison damage. Constrict. Melee Weapon Attack: +11 to hit, reach 15 ft., one Large or smaller creature. Hit: 16 (2d10 + 5) bludgeoning damage, and the target is grappled (escape DC 19). Until this grapple ends, the target is restrained and takes 15 (3d6 + 5) bludgeoning damage at the start of each of its turns, and Hythonia can't constrict another target. Snaky Hair. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 31 (4d12 + 5) bludgeoning damage, and Hythonia can pull the target up to 5 feet closer to her if it is a Large or smaller creature.","",""," Move. Hythonia moves up to her speed without provoking opportunity attacks. Snaky Hair. Hythonia makes one attack with her snaky hair. Petrified Earth (Costs 2 Actions). Hythonia causes stone spikes to erupt from the ground in a 30-foot radius centered on her. The area becomes difficult terrain until the start of her next turn. Any creature, other than Hythonia, takes 9 (2d8) piercing damage for every 5 feet it moves on those spikes."," Numbing Claws. Hythonia makes two attacks with her claws. If both attacks hit the same creature, it takes an extra 7 (2d6) poison damage and must succeed on a DC 18 Constitution saving throw or become paralyzed until the start of her next turn. Look at Me (Costs 3 Actions). Hythonia can force a sighted creature she has grappled to see her eyes and be affected by her gaze.","On initiative count 20 (losing initiative ties), Hythonia can take a lair action to cause one of the following effects. She can't use the same effect two rounds in a row:Hythonia briefly animates creatures that have been petrified by her gaze. Each statue attacks one creature within 5 feet of it, with a +11 bonus to hit and dealing 10 (3d6) bludgeoning damage on a hit. If a Medium or smaller creature takes this damage, it is also grappled (escape DC 15).Hythonia causes spectral snakes to erupt from a point she can see within 150 feet of her. Each creature within 20 feet of that point must succeed on a DC 19 Constitution saving throw or take 5 (2d4) piercing damage and become poisoned until the end of its next turn. While poisoned in this way, the creature has disadvantage on Intelligence checks and Intelligence saving throws, and it behaves as if under the effect of the confusion spell.","The region containing Hythonia's lair is warped by her presence, which creates one or more of the following effects:A large population of snakes dwells in the region.Trees within 1 mile of the lair are petrified wood. Plants that stay within 500 feet of the lair for 1 day turn to stone.Small bodies of water within 1 mile of the lair become poisonous. A creature that drinks the water must succeed on a DC 19 Constitution saving throw or become poisoned for 8 hours. An affected creature can repeat the saving throw at the end of each hour.",""
"Ice Devil","MM","Large","fiend (devil)","lawful evil","18 (natural armor)","180 (19d10 + 76)","40 ft.","21","14","18","18","15","18","Dex +7, Con +9, Wis +7, Cha +9","","","bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","fire, poison, cold","poisoned","blindsight 60 ft., darkvision 120 ft., passive Perception 12","Infernal, telepathy 120 ft.","14 (11,500 XP)"," Devil's Sight. Magical darkness doesn't impede the devil's darkvision. Magic Resistance. The devil has advantage on saving throws against spells and other magical effects."," Multiattack. The devil makes three attacks: one with its bite, one with its claws, and one with its tail. Bite. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) piercing damage plus 10 (3d6) cold damage. Claws. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 10 (2d4 + 5) slashing damage plus 10 (3d6) cold damage. Tail. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage plus 10 (3d6) cold damage. Wall of Ice (Recharge 6). The devil magically forms an opaque wall of ice on a solid surface it can see within 60 feet of it. The wall is 1 foot thick and up to 30 feet long and 10 feet high, or it's a hemispherical dome up to 20 feet in diameter.When the wall appears, each creature in its space is pushed out of it by the shortest route. The creature chooses which side of the wall to end up on, unless the creature is incapacitated. The creature then makes a DC 17 Dexterity saving throw, taking 35 (10d6) cold damage on a failed save, or half as much damage on a successful one.The wall lasts for 1 minute or until the devil is incapacitated or dies. The wall can be damaged and breached; each 10-foot section has AC 5, 30 hit points, vulnerability to fire damage, and immunity to acid, cold, necrotic, poison, and psychic damage. If a section is destroyed, it leaves behind a sheet of frigid air in the space the wall occupied. Whenever a creature finishes moving through the frigid air on a turn, willingly or otherwise, the creature must make a DC 17 Constitution saving throw, taking 17 (5d6) cold damage on a failed save, or half as much damage on a successful one. The frigid air dissipates when the rest of the wall vanishes.","","","","","","",""
"Ice Mephit","MM","Small","elemental","neutral evil","11","21 (6d6)","30 ft., fly 30 ft.","7","13","10","9","11","12","","Perception +2, Stealth +3","bludgeoning, fire","","cold, poison","poisoned","darkvision 60 ft., passive Perception 12","Aquan, Auran","1/2 (100 XP)"," Death Burst. When the mephit dies, it explodes in a burst of jagged ice. Each creature within 5 feet of it must make a DC 10 Dexterity saving throw, taking 4 (1d8) slashing damage on a failed save, or half as much damage on a successful one. False Appearance. While the mephit remains motionless, it is indistinguishable from an ordinary shard of ice. Innate Spellcasting (1/Day). The mephit can innately cast fog cloud, requiring no material components. Its innate spellcasting ability is Charisma."," Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 3 (1d4 + 1) slashing damage plus 2 (1d4) cold damage. Frost Breath (Recharge 6). The mephit exhales a 15-foot cone of cold air. Each creature in that area must succeed on a DC 10 Dexterity saving throw, taking 5 (2d4) cold damage on a failed save, or half as much damage on a successful one.","","","","","","","Arctic"
"Ice Piercer","IDRotF","Medium","monstrosity","unaligned","15 (natural armor)","22 (3d8 + 9)","5 ft., climb 5 ft.","10","13","16","1","7","3","","Stealth +5","","","cold","","blindsight 30 ft., darkvision 60 ft., passive Perception 8","—","1/2 (100 XP)"," False Appearance. While the ice piercer remains motionless on the ceiling, it is indistinguishable from a normal stalactite. Spider Climb. The ice piercer can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Drop. Melee Weapon Attack: +3 to hit, one creature directly underneath the ice piercer. Hit: 10 (3d6) piercing damage plus 10 (3d6) cold damage. Miss: The ice piercer takes half the normal falling damage for the distance fallen.","","","","","","",""
"Ice Spider","SKT","Large","beast","unaligned","14 (natural armor)","26 (4d10 + 4)","30 ft., climb 30 ft.","14","16","12","2","11","4","","Stealth +7","","cold","","","blindsight 10 ft., darkvision 60 ft., passive Perception 10","—","1 (200 XP)"," Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Web Sense. While in contact with a web, the spider knows the exact location of any other creature in contact with the same web. Web Walker. The spider ignores movement restrictions caused by webbing."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 7 (1d8 + 3) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 9 (2d8) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way. Icy Web (Recharge 5–6). Ranged Weapon Attack: +5 to hit, range 30/60 ft., one creature. Hit: The target is restrained by webbing, and takes 1 cold damage at the start of each of its turns. As an action, the restrained target can make a DC 12 Strength check, bursting the webbing on a success. The webbing can also be attacked and destroyed (AC 10; hp 5; vulnerability to fire damage; immunity to poison, and psychic damage).","","","","","","",""
"Ice Spider Queen","SKT","Large","beast","unaligned","14 (natural armor)","44 (4d10 + 4)","30 ft., climb 30 ft.","14","16","12","2","11","4","","Stealth +7","","cold","","","blindsight 10 ft., darkvision 60 ft., passive Perception 10","—","2 (450 XP)"," Cold Aura. Any creature that starts its turn within 5 feet of the spider takes 5 (2d4) cold damage. Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Web Sense. While in contact with a web, the spider knows the exact location of any other creature in contact with the same web. Web Walker. The spider ignores movement restrictions caused by webbing."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 7 (1d8 + 3) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 9 (2d8) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way. Icy Web (Recharge 5–6). Ranged Weapon Attack: +5 to hit, range 30/60 ft., one creature. Hit: The target is restrained by webbing, and takes 2 (1d4) cold damage at the start of each of its turns. As an action, the restrained target can make a DC 12 Strength check, bursting the webbing on a success. The webbing can also be attacked and destroyed (AC 10; hp 5; vulnerability to fire damage; immunity to poison, and psychic damage).","","","","","","",""
"Ice Toad","RoT","Medium","monstrosity","neutral","12 (natural armor)","32 (5d8 + 10)","30 ft., swim 30 ft.","13","10","14","8","10","6","","Perception +2","","","cold","","darkvision 60 ft., passive Perception 12","Ice Toad","1 (200 XP)"," Amphibious. The toad can breathe air or water. Cold Aura. Any creature that starts its turn within 5 feet of the toad takes 3 (1d6) cold damage. Standing Leap. The toad's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start."," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d8) cold damage. If the target is a Medium or smaller creature it is grappled (escape DC 11). Until this grapple ends, the toad can't bite another target.","","","","","","",""
"Ice Troll","IDRotF","Large","giant","chaotic evil","16 (natural armor)","115 (10d10 + 60)","30 ft.","18","8","22","7","9","7","","Perception +2","","","cold","","darkvision 60 ft., passive Perception 12","Giant","8 (3,900 XP)"," Cold Aura. While it's alive, the troll generates an aura of bitter cold that fills the area within 10 feet of it. At the start of the troll's turn, all nonmagical flames in the aura are extinguished. Any creature that starts its turn within 10 feet of the troll takes 10 (3d6) cold damage. Keen Smell. The ice troll has advantage on Wisdom (Perception) checks that rely on smell. Regeneration. The ice troll regains 10 hit points at the start of its turn. If the troll takes acid or fire damage, this trait doesn't function at the start of the troll's next turn. The ice troll dies only if it starts its turn with 0 hit points and doesn't regenerate."," Multiattack. The troll makes three attacks: one with its bite and two with its claws. Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage plus 9 (2d8) cold damage. Claw. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage plus 9 (2d8) cold damage. If the target takes any of the cold damage, the target must succeed on a DC 15 Constitution saving throw or have disadvantage on its attack rolls until the end of its next turn.","","","","","","",""
"Ice Troll","RoT","Large","giant","chaotic evil","15 (natural armor)","84 (8d10 + 40)","30 ft.","18","13","20","7","9","7","","Perception +2","","cold","","","darkvision 60 ft., passive Perception 12","Giant","5 (1,800 XP)"," Keen Smell. The troll has advantage on Wisdom (Perception) checks that rely on smell. Regeneration. The troll regains 10 hit points at the start of its turn. If the troll takes acid or fire damage, this trait doesn't function at the start of the troll's next turn. The troll dies only if it starts its turn with 0 hit points and doesn't regenerate."," Multiattack. The troll makes three attacks: one with its bite and two with its claws. Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage. Claw. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.","","","","","","",""
"Icewind Kobold","IDRotF","Small","humanoid (kobold)","any alignment","14 (hide armor)","9 (2d6 + 2)","30 ft., climb 20 ft.","7","15","12","8","8","8","Dex +4, Con +3","Perception +1, Stealth +4, Survival +1","","","","","darkvision 60 ft., passive Perception 11","Common, Draconic","1/8 (25 XP)"," Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated. Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Javelin. Melee or Ranged Weapon Attack: +0 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 1 (1d6 - 2) piercing damage.","","","","","","",""
"Icewind Kobold Zombie","IDRotF","Small","undead","neutral evil","9 (scraps of hide armor)","19 (3d6 + 9)","20 ft.","8","6","16","3","6","3","Wis +0","","","","poison","poisoned","darkvision 60 ft., passive Perception 8","understands Common and Draconic but can't speak","1/8 (25 XP)"," Undead Fortitude. If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead. Unusual Nature. The zombie doesn't require air, food, drink, or sleep."," Javelin. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 2 (1d6 - 1) piercing damage.","","","","","","",""
"Ifan Talro'a","ToA","Medium","humanoid (human)","neutral evil","15 (breastplate)","9 (2d8)","30 ft.","11","12","11","12","14","16","","Deception +5, Insight +4, Persuasion +5","","","","","passive Perception 12","any two languages","1/8 (25 XP)",""," Rapier. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) piercing damage.",""," Parry. Ifan adds 2 to its AC against one melee attack that would hit it. To do so, Ifan must see the attacker and be wielding a melee weapon.","","","","",""
"Iggwilv the Witch Queen","WBtW","Medium","fey (wizard)","chaotic neutral","19 (robe of the archmagi)","255 (30d8 + 120)","30 ft.","10","18","18","27","12","23","Int +14, Wis +7, Cha +12","Arcana +20, History +14, Nature +14","","","","charmed, frightened","truesight 60 ft., passive Perception 11","Abyssal, Celestial, Common, Draconic, Elvish, Infernal, Sylvan","20 (25,000 XP)"," Special Equipment. Iggwilv wears an amulet of the planes and a robe of the archmagi. Boon of Immortality. Iggwilv is immune to any effect that would age her, and she can't die from old age. Legendary Resistance (3/Day). If Iggwilv fails a saving throw, she can choose to succeed instead. Magic Resistance. Iggwilv has advantage on saving throws against spells and other magical effects. (This trait is bestowed by her robe of the archmagi.)"," Multiattack. Iggwilv makes two Bewitching Bolt attacks. Bewitching Bolt. Melee or Ranged Spell Attack: +16 to hit, reach 5 ft. or range 120 ft., one target. Hit: 25 (5d6 + 8) lightning damage, and if the target is a creature, it must succeed on a DC 22 Wisdom saving throw or be charmed by Iggwilv until the start of her next turn. Abyssal Rift (Recharge 5–6). Iggwilv opens a momentary Abyssal rift within 120 feet of her. The rift is a 20-foot-radius sphere. Each creature in that area must make a DC 22 Constitution saving throw, taking 40 (9d8) necrotic damage on a failed save, or half as much damage on a successful one. In addition, there is a 50 percent chance that 3 hezrous then appear in unoccupied spaces in the sphere. They act as Iggwilv's allies, take their turns immediately after hers, and can't summon other demons. They remain until they die or until Iggwilv dismisses them as an action. Spellcasting. Iggwilv casts one of the following spells, requiring no material components and using Intelligence as the spellcasting ability (spell save DC 24, +16 to hit with spell attacks):At will: detect magic, disguise self, invisibility, light, mage hand, message, prestidigitation, Tasha's hideous laughter3/day each: dispel magic, fly, polymorph1/day each: maze, telekinesis, teleport, wish"," Fey Step. Iggwilv teleports, along with any equipment she is wearing or carrying, to an unoccupied space she can see within 30 feet of her."," Negate Spell (2/Day). When Iggwilv sees a creature within 60 feet of her casting a spell, she tries to interrupt it. If the creature is casting a spell using a spell slot of 8th level or lower, its spell fails and has no effect. If it is casting a 9th-level spell, it must succeed on a DC 22 Intelligence saving throw, or the spells fails and has no effect."," Witchcraft. Iggwilv uses Spellcasting or Fey Step. Dark Speech (Costs 2 Actions). Iggwilv utters a phrase in a forbidden language and targets one or two creatures she can see within 60 feet of her. Each target must succeed on a DC 22 Wisdom saving throw or take 11 (2d10) psychic damage and be frightened of Iggwilv for 1 minute. A target can repeat the save at the end of each of its turns, ending the effect on itself on a success and thereby becoming immune to Iggwilv's Dark Speech for 24 hours. Fey Beguilement (Costs 3 Actions). Iggwilv targets one creature she can see within 60 feet of her. The target must succeed on a DC 22 Charisma saving throw or be possessed by a fey spirit. While possessed, the target must obey Iggwilv's commands. The target can repeat the saving throw at the end of each of its turns, banishing the fey spirit and ending the effect on itself on a success.","","","",""
"Illithilich","VGM","Medium","undead","any evil alignment","17 (natural armor)","135 (18d8 + 54)","30 ft.","11","16","16","20","14","16","Con +10, Int +12, Wis +9","Arcana +19, History +12, Insight +9, Perception +9","","cold, lightning, necrotic","poison; bludgeoning, piercing, and slashing from nonmagical attacks","charmed, exhaustion, frightened, paralyzed, poisoned","truesight 120 ft., passive Perception 19","Deep Speech, Undercommon, telepathy 120 ft.","22 (41,000 XP)"," Innate Spellcasting (Psionics). The illithilich's innate spellcasting ability is Intelligence (spell save DC 20). It can innately cast the following spells, requiring no components.At will: detect thoughts, levitate1/day each: dominate monster, plane shift (self only) Legendary Resistance (3/Day). If the illithilich fails a saving throw, it can choose to succeed instead. Magic Resistance. The illithilich has advantage on saving throws against spells and other magical effects. Rejuvenation. If it has a phylactery, a destroyed illithilich gains a new body in 1d10 days, regaining all its hit points and becoming active again. The new body appears within 5 feet of the phylactery. Spellcasting. The illithilich is an 18th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 20, +12 to hit with spell attacks). The lich has the following wizard spells prepared:Cantrips (at will): mage hand, prestidigitation, ray of frost1st level (4 slots): detect magic, magic missile, shield, thunderwave2nd level (3 slots): detect thoughts, invisibility, Melf's acid arrow, mirror image3rd level (3 slots): animate dead, counterspell, dispel magic, fireball4th level (3 slots): blight, dimension door5th level (3 slots): cloudkill, scrying6th level (1 slot): disintegrate, globe of invulnerability7th level (1 slot): finger of death, plane shift8th level (1 slot): dominate monster, power word stun9th level (1 slot): power word kill Turn Resistance. The illithilich has advantage on saving throws against any effect that turns undead."," Paralyzing Touch. Melee Spell Attack: +12 to hit, reach 5 ft., one creature. Hit: 10 (3d6) cold damage. The target must succeed on a DC 18 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Tentacles. Melee Weapon Attack: +12 to hit, reach 5 ft., one creature. Hit: 21 (3d10 + 5) psychic damage. If the target is Large or smaller, it is grappled (escape DC 15) and must succeed on a DC 20 Intelligence saving throw or be stunned until this grapple ends. Extract Brain. Melee Weapon Attack: +12 to hit, reach 5 ft., one incapacitated humanoid grappled by the lich. Hit: 55 (10d10) piercing damage. If this damage reduces the target to 0 hit points, the lich kills the target by extracting and devouring its brain. Mind Blast (Recharge 5–6). The illithilich magically emits psychic energy in a 60-foot cone. Each creature in that area must succeed on a DC 18 Intelligence saving throw or take 27 (5d8 + 5) psychic damage and be stunned for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","",""," Tentacles. The illithilich makes one attack with its tentacles. Extract Brain (Costs 2 Actions). The illithilich uses Extract Brain. Mind Blast (Costs 3 Actions). The illithilich recharges its Mind Blast and uses it. Cast Spell (Costs 1–3 Actions). The illithilich uses a spell slot to cast a 1st-, 2nd-, or 3rd-level spell that it has prepared. Doing so costs 1 legendary action per level of the spell.","","On initiative count 20 (losing initiative ties), the illithilich can take a lair action to cause one of the following magical effects; the illithilich can't use the same effect two rounds in a row:The illithilich rolls a d8 and regains a spell slot of that level or lower. If it has no spent spell slots of that level or lower, nothing happens.The illithilich targets one creature it can see within 30 feet of it. A crackling cord of negative energy tethers the illithilich to the target. Whenever the illithilich takes damage, the target must make a DC 18 Constitution saving throw. On a failed save, the illithilich takes half the damage (rounded down), and the target takes the remaining damage. This tether lasts until initiative count 20 on the next round or until the illithilich or the target is no longer in the illithilich's lair.The illithilich calls forth the spirits of creatures that died in its lair. These apparitions materialize and attack one creature that the illithilich can see within 60 feet of it. The target must succeed on a DC 18 Constitution saving throw, taking 52 (15d6) necrotic damage on a failed save, or half as much damage on a success. The apparitions then disappear.","","Underdark"
"Ilvara Mizzrym","OotA","Medium","humanoid (elf)","neutral evil","16 (scale mail)","71 (13d8 + 13)","30 ft.","10","14","12","13","17","18","Con +4, Wis +6, Cha +7","Insight +6, Perception +6, Religion +4, Stealth +5","","","","","darkvision 120 ft., passive Perception 16","Elvish, Undercommon","8 (3,900 XP)"," Special Equipment. Ilvara wields a tentacle rod in addition to her scourge. Fey Ancestry. Ilvara has advantage on saving throws against being charmed, and magic can't put Ilvara to sleep. Innate Spellcasting. Ilvara's spellcasting ability is Charisma (spell save DC 15). She can innately cast the following spells, requiring no material components:At will: dancing lights1/day each: darkness, faerie fire, levitate (self only) Spellcasting. Ilvara is a 10th-level spellcaster. Her spellcasting ability is Wisdom (save DC 14, +6 to hit with spell attacks). Ilvara has the following cleric spells prepared:Cantrips (at will): guidance, poison spray, resistance, spare the dying, thaumaturgy1st level (4 slots): animal friendship, cure wounds, detect poison and disease, ray of sickness2nd level (3 slots): lesser restoration, protection from poison, web3rd level (3 slots): conjure animals (2 giant spiders), dispel magic4th level (3 slots): divination, freedom of movement5th level (2 slots): insect plague, mass cure wounds Sunlight Sensitivity. While in sunlight, Ilvara has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Multiattack. Ilvara makes two scourge attacks. Scourge. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage plus 17 (5d6) poison damage. Summon Demon (1/Day). Ilvara attempts to magically summon a yochlol with a 30 percent chance of success. If the attempt fails, Ilvara takes 5 (1d10) psychic damage. Otherwise, the summoned demon appears in an unoccupied space within 60 feet of its summoner, acts as an ally of its summoner, and can't summon other demons. It remains for 10 minutes, until it or its summoner dies, or until its summoner dismisses it as an action.","","","","","","",""
